,0,1
0,o brasil nao precisa de invencionices alarmantes por previsoes sobre coronavirus em sao paulo nao se confirmaram,localização
1,e melhor ele nao usar cloroquina ne nao tinha aquele papo de eficacia duvidosa etc,saúde
2,noticias boas que bom quarentena quartaligadajusticasdv mais de 70 vacinas contra o coronavirus estao sendo desenvolvidas diz nature coronavirus,saúde
3,fiqueatento plenario julga nesta quarta feira 15 por videoconferencia acoes relacionadas as medidas de combate ao coronavirus,Político-social
4,e genocidio que chama Funai recebe r 11 milhoes para proteger indigenas do coronavirus mas nao gasta nenhum centavo saude estadao,saúde
5,ataque cibernetico paralisa centro de testes de coronavirus mindsec minutodaseguranca informationsecurity segurancadainformacao hacker cyberattack,saúde
6,o brasil apresenta alguns dos melhores indices de cura do coronavirus sao mais de 55 dos casos superando paises como alemanha 46 9 espanha 39 9 franca 27 8 e italia 22 8 fonte ministerio da saude,localização
7,coronavirus as festas que se tornaram alvos da policia apos participantes testarem positivo para a covid 19,saúde
8,atencao saiba quando e onde encontrar um servico de saude em caso suspeito de coronavirus sentiu febre tosse desconforto respiratorio ou falta de ar dirija se para uma das quatro upas com referencia no atendimento em caso de outros sintomas procure as demais unidades,saúde
9,coronavirus apesar da suspensao de atividades presenciais a justicadotrabalho oferece a sociedade meios para a solucao de conflitos,saúde
10,3a guerra mundial ira x eua fogo na amazonia pandemia do coronavirus sons estranhos no ceu chernobyl pegando fogo aumento da mare krakatoa entrando em erupcaoem so 4 meseso maia era dislexico e confundiu 2021 com 2012 n e possivel,Político-social
11,wilson witzel com coronavirus recorde de mortes no rj e br 90 das utis ocupadas em hospital referencia municipal 70 das uti ocupadas na rede estadual hospitais de campanha nao estao prontos estudo preve isolamento intermitente ate 2022vamos levar a serio,saúde
12,diz que a crise do novo coronavirus ficara ainda mais grave caso nao seja respeitado o isolamento social as internacoes deram um salto de 57 nesta terca feira cbncontraocoronavirus fiqueemcasa noarnacbn,saúde
13,metade das amostras das solas de sapatos do pessoal medico que trabalha na uti foi positiva para o novo coronavirus os pesquisadores concluiram que o calcado de medicos e enfermeiros tambem podem ser portadores de sars cov 2,saúde
14,presidente do senado falando contra destinar o fundao eleitoral para o combate ao covid 19 esses 2 bilhoes do financiamento da democracia sao eles que sao fundamentais para o combate ao coronavirus gastos do ministerio da saude ate agora r 12 bilhoes,Político-social
15,washington post diz que e o pior lider global a lidar com o coronavirus,saúde
16,veja iniciativas que sao boasnoticias em meio a pandemia de coronavirus se liga no recadinho de emilly araujo apresentadora do topzera covid19 coronavirusnobrasil,Político-social
17,covid19 apple e google anunciam iniciativa de rastreamento de pessoas para que governos monitorem fluxos de circulacao durante a pandemia do novo coronavirus leia em marcello casal jr,Político-social
18,o brasil precisa de um plano de estimulo mais agressivo como o plano marshall foi para a europa apos a segunda guerra coronavirus,localização
19,coronavirus oms diz nao use ibuprofeno ouca atualizacoes na regiao centro oeste,saúde
20,coronavirus em araraquara sp uma mulher foi presa por descumprir decreto que proibia uso de parques e pracas esse cirquinho de coronavirus que armaram para implantar uma ditadura comunista disse ela antes de ser detida,Político-social
21,conselho de medicina interdita medica que sugeriu soro anti coronavirus folha impacto,saúde
22,colapso na saude desemprego e recessao sao as tres maiores preocupacoes no enfrentamento ao coronavirus coronavirus,saúde
23,os gestores de todo o pais vao precisa informar o numero de leitos e quantos estao ocupados por pacientes infectados pelo coronavirus se esses dados nao forem repassados a policia federal podera fazer uma blitz jornaldarecord jr24h,saúde
24,vao aparecer varias historias assim aguardem a atitude no inicio da pandemia no brasil foi vergonhosa em muitas organizacoes que deviam dar o exemplo,Político-social
25,nao peguei coronavirus ate agr gracas a deus mas ai namoral msm sem pegar ele esta destruindo minha vida,saúde
26,o brasil apresenta alguns dos melhores indices de cura do coronavirus sao mais de 55 dos casos superando paises como alemanha 46 9 espanha 39 9 franca 27 8 e italia 22 8 fonte ministerio da saude,localização
27,agora todo dia o paraguai da licao ao brasil senado do paraguai cassa mandato de pastora evangelica infectada com coronavirus que quebrou quarentena,localização
28,hipocrisia comigo nao parte 4 debatendo ao vivo na band as medidas contra o coronavirus os desmandos e desgoverno doria e farra com a grana do fundao,saúde
29,e por fim hoje o coronavirus mostrou que a politizacao de um assunto que envolve a perca de vidas escancara o quanto nosso sistema politico lideranca e infantil indouto e incoerente o brasil tera de sofrer muito pra elevar se nessa questao e triste,localização
30,fica em casa seus puto,saúde
31,nao ha vacina o distanciamento social e a unica medida para evitar a contaminacao por coronavirus no planeta nos multiplicamos por dez os casos de covid 19 em 15 dias na ilha de sao luis diz,saúde
32,55 das pessoas diagnosticadas com coronavirus ja estao recuperadas informa ministerio da saude,saúde
33,washington post diz que bolsonaro e o pior lider global a lidar com o coronavirus politica estadao,saúde
34,adolfwitzel e dobarbalho com coronavirus no mesmo dia ohhh gente burra nem combinaram direito pra nao ficar tao na cara o brasil e uma grande farsa,localização
35,cometemos um erro especialmente na lombardia estavamos totalmente focados em aumentar o numero de leitos em unidades de terapia intensiva agora ele trata as pessoas em casa mais cedo com hidroxicloroquina,saúde
36,coronavirus e a maior fraude sanitaria do mundo dr shiva ayyadurai shiva ph d em engenharia biologica,saúde
37,tem muito cliente e funcionario tossindo tem gente que tosse em cima da gente principalmente os idosos conta a caixa do mundial que preferiu nao se identificar por medo de perder o emprego,economia
38,coronavirus e certo que este virus ira prejudicar os planos das desenvolvedoras principalmente na parte de capturas 3d de jogadores e no mocap mas o mocap e a nivel global ja que nao e so usado na industria de games fifa scan3d pes,saúde
39,voce ainda danca cantando coronavirus,saúde
40,a 1a morte que eles mandaram colocar como coronavirus ne,saúde
41,d gohier desde que comecaram a usar ninguem mais precisou ser entubado 100 de cura e 0 de obitos,saúde
42,que menino vei tem um coronavirus em irece e,saúde
43,e o 14 ano q o partido pdt desse senhor governa o pobre amapa antes do coronavirus ja faltava o basico nos hospitais estaduais como gazes e ate luvas entao podemos concluir q estao ha 14anos trocando o pneudo carro com o carro em movimento quanta incompetencia vc nao acha,saúde
44,e o prefeito de caxias esta internado em hospital particular no rio esta com coronavirus deu na globo ontem,saúde
45,viva o coronavirus que alem de derrubar as mascaras trouxe mais 50 anos de lava jato,Político-social
46,coronavirus va embora agora,saúde
47,esta muito claro o coronavirus foi um engodo muito bem aplicado com finalidade de roubo de bilhoes e tentativa de derrubar bolsonaro,saúde
48,rui anuncia negociacao com supermercados para viabilizar alimentacao de nordesteusou coronavirus,saúde
49,e se fazer de preocupado com o bem do povo e nao abrir mao da mamata eleitoral esse dinheiro e do povo e nao de voces canalhas faca numa pesquisa e veja se o povo ta afim de patrocinar essa mamata seja homem,saúde
50,oi as entregas ate o momento estao normais porem infelizmente devido a grande pandemia atual que o pais esta passando referente ao coronavirus pode haver oscilacao nas entregas devido a reducao de frotas quarentena havendo duvidas contate nosso suporte,Político-social
51,coronavirus sem sexo,saúde
52,saudades pq eu curaria o coronavirus com as minhas lagrimas pra poder ver voces hoje,saúde
53,espalham noticias falsas e querem o caos no brasil isto e outro virus o virus da esquerdopatia mata tanto quanto o coronavirus,localização
54,a suecia que e citada em verso e prosa pelo osmar terra proibiu o uso da cloroquina nos pacientes daquele pais nao ha nada confiavel e imbativel diante dessa peste chinesa,saúde
55,governo da nova zelandia destina 20 dos salarios para combate ao novo coronavirus via,Político-social
56,o banco mundial nao acha de todo ruim e ate citou uma acao do governo bolsonaro como exemplo a reducao de burocracia para importacao de produtos que combatem o coronavirus,Político-social
57,desde ha 2 dias isto agora mudou imenso uma variedade de temas deixou de ser enjoativo ora ve covid 19 pandemia coronavirus surto vacina testespronto acho que disse todos ufa,saúde
58,olha que otima noticia tambem posta ou retweetar fabao me ajudar a espalhar enfim noticias como essas trazem esperanca grande abraco,saúde
59,o momento exato em que witzel pega na perna do coronavirus,saúde
60,oficial a seita da terra parada team coronavirus conseguiu 80 bilhoes p gastarem a vontade sem prestar conta suspender 11 bilhoes em dividas soltar bandidos da cadeia ficar em casa e um bom negocio,saúde
61,vc deveria ter vergonha de postar isso quando quiseram votar pra diminuicao dos salarios dos servidores e parlamentares pra ajudar a diminuir os gastos nesse tempo de coronavirus vcs votaram contra agora vem com essa de se importar com os mais pobres me poupe,economia
62,a oms sabia desde dezembro,saúde
63,voce vai omitir o tuite da dizendo que o coronavirus nao transmite de pessoa a pessoa,saúde
64,em fortaleza a construcao de um hospital temporario no estadio presidente vargas com gasto de 80 milhoes para eventuais pacientes de coronavirus obs e nao investe no novo hospital que ja existe com 200 leitos e fechado que pais e esse,saúde
65,nossas florestas estao em risco ha parlamentares querendo aproveitar a pandemia do coronavirus para aprovar a mp910 que entrega terras a quem mais desmata os grileiros cobre que os parlamentarem digam mp910nao acesse,Político-social
66,deputada a unica opcao rapida e realmente a renuncia do presidente juridicamente nada pode ser feito a conta pra esse sociopata so vai chegar com a avalanche de cadaveres o brasil nao merece esse lixo de pr,localização
67,ah lacrou vc esta enganado ele previu sim 1 milhao de mortes ate agosto espero que voce passe a pesquisar o basico no google na proxima postage evitando assim a vergonha que passa,saúde
68,amado eu a d o r o o ar professoral com que o asno ensina o burrico ta sabendo mais do que as autoridades sobre a curva esqueceu so q nao se sabe se o coronavirus faz o corpo criar anticorpos e os bolsominions saem falando como se sim,saúde
69,temos apenas um inimigo o novo coronavirus quanto ao medicamento nao preciso tomar estou assintomatico,saúde
70,o divulga pela primeira vez o numero de pessoas recuperadas do coronavirus ate 14 04 25 262 pacientes diagnosticados p covid 191 532 obitos9 704 pacientes internados14 026 recuperados,saúde
71,a sua risada amiga eu acho que ela e a cura pro coronavirus,saúde
72,prevendo o pico do coronavirus e igual pedreiro prevendo o final da obra mandettademitido mandettagenocida covid 19,saúde
73,que bagunca jair bolsonaro mata mais que o coronavirus queria estar surpreso,saúde
74,carvalheira e as mortes e os casos que ainda tem mas para aquele senhor e so uma gripezinha,saúde
75,atila explicando sobre o coronavirus,saúde
76,vc sabe mto bem qual e o video citado ate pq o tema em questao aqui e o coronavirus mas se vc acha interessante trazer o curriculo do cara para justificar qualquer coisa entao fique a vontade,saúde
77,em ivoti todo mundo vai ter coronavirus academias abrindo hoje comercio aberto desde fim de semana ja,economia
78,em um pais serio ele seria preso processado julgado e condenado bolsonaro trouxe o coronavirus no aerovid 19 aerococa pegou o resultado por duas vezes testando positivo e fez questao de disseminar a doenca em brasilia pais nao serio o aras comandando a pgr arquivaria,saúde
79,o governo estadual de sp errou feio sobre a quantidade de mortes por coronavirus e necessario revermos urgentemente as atuais regras estabelecendo metas para a flexibilizacao e o termino da suspensao da atividade das empresas e comercio bolsonarotemrazaosim,Político-social
80,so lembrando que o virus que provoca o resfriado comum tambem e do tipo coronavirus,saúde
81,cristovam quando a historia do coronavirus for contada saberemos que os comunistas tentaram de todas as formas quebrar a economia mundial e implantar um regime socialista,saúde
82,eu achei isso intrigante logo na hora que uma loira chique bonita e rica me lacrou para a gente sair na semana o coronavirus veio bater em fortaleza foi ligeiro rapaz essa foi por pouco loiras,saúde
83,taliria a maconha faz mal para o coronavirus viu ja avisou no twitter,saúde
84,eu sei que praga nao vale e nao pega mas como eu gostaria de ver voce pegar o coronavirus e ter que falar pro medico que nao quer que use o cloroquina ahh mas os reporteres e apresentadores da esquerda sao imunes como voce pode ser tao vadia,saúde
